日本全国の日別コロナ感染者数:2020/1/26は、    1人です。
日本全国の日別コロナ感染者数:2020/1/27は、    0人です。
日本全国の日別コロナ感染者数:2020/1/28は、    3人です。
日本全国の日別コロナ感染者数:2020/1/29は、    1人です。
日本全国の日別コロナ感染者数:2020/1/30は、    3人です。
日本全国の日別コロナ感染者数:2020/1/31は、    0人です。
日本全国の日別コロナ感染者数:2020/2/1は、    0人です。
日本全国の日別コロナ感染者数:2020/2/2は、    0人です。
日本全国の日別コロナ感染者数:2020/2/3は、    0人です。
日本全国の日別コロナ感染者数:2020/2/4は、    1人です。
日本全国の日別コロナ感染者数:2020/2/5は、    2人です。
日本全国の日別コロナ感染者数:2020/2/6は、    0人です。
日本全国の日別コロナ感染者数:2020/2/7は、    0人です。
日本全国の日別コロナ感染者数:2020/2/8は、    0人です。
日本全国の日別コロナ感染者数:2020/2/9は、    0人です。
日本全国の日別コロナ感染者数:2020/2/10は、    0人です。
日本全国の日別コロナ感染者数:2020/2/11は、    1人です。
日本全国の日別コロナ感染者数:2020/2/12は、    1人です。
日本全国の日別コロナ感染者数:2020/2/13は、    3人です。
日本全国の日別コロナ感染者数:2020/2/14は、    5人です。
日本全国の日別コロナ感染者数:2020/2/15は、    4人です。
日本全国の日別コロナ感染者数:2020/2/16は、    1人です。
日本全国の日別コロナ感染者数:2020/2/17は、    6人です。
日本全国の日別コロナ感染者数:2020/2/18は、    8人です。
日本全国の日別コロナ感染者数:2020/2/19は、    9人です。
日本全国の日別コロナ感染者数:2020/2/20は、    8人です。
日本全国の日別コロナ感染者数:2020/2/21は、   13人です。
日本全国の日別コロナ感染者数:2020/2/22は、   23人です。
日本全国の日別コロナ感染者数:2020/2/23は、   10人です。
日本全国の日別コロナ感染者数:2020/2/24は、   16人です。
日本全国の日別コロナ感染者数:2020/2/25は、    8人です。
日本全国の日別コロナ感染者数:2020/2/26は、   22人です。
日本全国の日別コロナ感染者数:2020/2/27は、   24人です。
日本全国の日別コロナ感染者数:2020/2/28は、   19人です。
日本全国の日別コロナ感染者数:2020/2/29は、    9人です。
日本全国の日別コロナ感染者数:2020/3/1は、   14人です。
日本全国の日別コロナ感染者数:2020/3/2は、   14人です。
日本全国の日別コロナ感染者数:2020/3/3は、   22人です。
日本全国の日別コロナ感染者数:2020/3/4は、   34人です。
日本全国の日別コロナ感染者数:2020/3/5は、   33人です。
日本全国の日別コロナ感染者数:2020/3/6は、   54人です。
日本全国の日別コロナ感染者数:2020/3/7は、   44人です。
日本全国の日別コロナ感染者数:2020/3/8は、   35人です。
日本全国の日別コロナ感染者数:2020/3/9は、   27人です。
日本全国の日別コロナ感染者数:2020/3/10は、   60人です。
日本全国の日別コロナ感染者数:2020/3/11は、   52人です。
日本全国の日別コロナ感染者数:2020/3/12は、   55人です。
日本全国の日別コロナ感染者数:2020/3/13は、   34人です。
日本全国の日別コロナ感染者数:2020/3/14は、   62人です。
日本全国の日別コロナ感染者数:2020/3/15は、   29人です。
日本全国の日別コロナ感染者数:2020/3/16は、   16人です。
日本全国の日別コロナ感染者数:2020/3/17は、   45人です。
日本全国の日別コロナ感染者数:2020/3/18は、   39人です。
日本全国の日別コロナ感染者数:2020/3/19は、   39人です。
日本全国の日別コロナ感染者数:2020/3/20は、   52人です。
日本全国の日別コロナ感染者数:2020/3/21は、   35人です。
日本全国の日別コロナ感染者数:2020/3/22は、   45人です。
日本全国の日別コロナ感染者数:2020/3/23は、   39人です。
日本全国の日別コロナ感染者数:2020/3/24は、   89人です。
日本全国の日別コロナ感染者数:2020/3/25は、   93人です。
日本全国の日別コロナ感染者数:2020/3/26は、   93人です。
日本全国の日別コロナ感染者数:2020/3/27は、   96人です。
日本全国の日別コロナ感染者数:2020/3/28は、  222人です。
日本全国の日別コロナ感染者数:2020/3/29は、  151人です。
日本全国の日別コロナ感染者数:2020/3/30は、   80人です。
日本全国の日別コロナ感染者数:2020/3/31は、  227人です。
日本全国の日別コロナ感染者数:2020/4/1は、  257人です。
日本全国の日別コロナ感染者数:2020/4/2は、  281人です。
日本全国の日別コロナ感染者数:2020/4/3は、  353人です。
日本全国の日別コロナ感染者数:2020/4/4は、  365人です。
日本全国の日別コロナ感染者数:2020/4/5は、  346人です。
日本全国の日別コロナ感染者数:2020/4/6は、  248人です。
日本全国の日別コロナ感染者数:2020/4/7は、  365人です。
日本全国の日別コロナ感染者数:2020/4/8は、  522人です。
日本全国の日別コロナ感染者数:2020/4/9は、  574人です。
日本全国の日別コロナ感染者数:2020/4/10は、  640人です。
日本全国の日別コロナ感染者数:2020/4/11は、  644人です。
日本全国の日別コロナ感染者数:2020/4/12は、  486人です。
日本全国の日別コロナ感染者数:2020/4/13は、  387人です。
日本全国の日別コロナ感染者数:2020/4/14は、  446人です。
日本全国の日別コロナ感染者数:2020/4/15は、  552人です。
日本全国の日別コロナ感染者数:2020/4/16は、  558人です。
日本全国の日別コロナ感染者数:2020/4/17は、  572人です。
